account_id,customer_name,date_of_birth,postcode,region,creditor,debt_type,original_balance,current_balance,interest_rate_pct,default_date,account_status,vulnerability_flag,dsar_requested,marketing_consent,assigned_agent
DC100814,Geoffrey Gardner,31/08/1962,EH1 5QF,East Anglia,Aurora Credit Ltd,Credit Card,13141.21,12413.35,20.48,2025-10-26,Closed,None,N,Unknown,Terry B.
DC100005,Oliver Palmer,1971-07-22,N53 1ZG,London,Summit Consumer Credit,Rent Arrears,9883.26,5973.13,17.48,2025-12-27,Closed,None,N,Y,Eleanor B.
DC100631,Shirley Davis,08/18/2000,DG0 8TA,Midlands,Pinnacle Retail Finance,Store Card,11992.5,4586.46,17.73,07/30/2025,Open,None,N,Unknown,Rachel H.
DC100079,Conor Nicholls,01/25/1986,ZE48 1TQ,London,Aurora Credit Ltd,Mobile Phone Contract,5895.19,3694.5,10.53,2026-03-30,Closed,None,N,N,Kate B.
DC101136,Rosemary Booth,1959-04-18,W1T 3DR,South East,Vantage Home Finance,Utility Arrears,9958.62,9958.62,13.96,23-10-2022,Disputed,None,N,Y,Josephine P.
DC100372,Steven Hooper,1964-02-02,GY4W 4TQ,South East,Summit Consumer Credit,Personal Loan,12277.84,6287.46,19.38,13/12/2023,Disputed,None,N,Y,Kate R.
DC100058,Malcolm Dawson,1991-11-30,M7 7PG,,Summit Consumer Credit,Catalogue Debt,5526.28,2245.52,28.82,2023-02-14,Open,None,N,N,Lee S.
DC101198,Jason King,01/12/1995,IG7M 5WF,Wales,Aurora Credit Ltd,Mobile Phone Contract,8237.99,8237.99,9.58,2024-01-24,Closed,None,N,N,Dorothy R.
DC100566,Roy Fletcher,02/07/1968,EX3 3QY,Yorkshire,Vantage Home Finance,Mobile Phone Contract,2874.24,672.7,13.56,2023-04-17,On Hold,None,N,Y,Lydia M.
DC100912,Charles Bull,1967-08-14,TR2 5SH,Wales,Vantage Home Finance,Overdraft,11439.1,6521.47,18.15,2025-07-14,Open,None,N,N,Andrea H.
DC100231,Donna Perkins,11/07/1969,NN8W 4DN,London,Meridian Telecom,Mobile Phone Contract,3671.52,1940.97,11.98,2024-04-18,Closed,None,N,N,Jason L.
DC100512,Gerald Williams,1947-01-04,DG9V 4HA,London,Pinnacle Retail Finance,Personal Loan,1955.67,770.32,0.88,08/12/2022,Disputed,None,N,Y,Jake P.
DC100766,Arthur Barker,02/02/1989,G2 2RT,Scotland,Meridian Telecom,Personal Loan,11309.98,11309.98,29.55,2023-01-08,Legal Action,None,N,N,Lesley B.
DC100893,Andrea Ellis,,S0 1FW,Midlands,Northbridge Finance,Catalogue Debt,9258.85,5265.14,25.87,12/02/2023,Closed,None,N,Y,Melanie B.
DC100314,Gregory Holmes,2003-05-13,SA2V 1QX,North West,Hallgate Bank,Store Card,7139.19,7139.19,16.7,2023-03-29,Disputed,None,Y,N,Catherine J.
DC100986,Jessica Brown,11/02/2005,DL3 4ZE,South East,Yorkshire Utilities Group,Credit Card,308.99,308.99,19.19,2024-01-23,Closed,None,N,Y,Francesca C.
DC100503,Danielle Knight,1997-02-17,M7K 1HT,South East,Pinnacle Retail Finance,Rent Arrears,12312.92,10776.94,29.12,2024-07-24,In arrangement,None,N,Unknown,Nicholas F.
DC100781,Gail Lambert,1993-01-01,N7U 5NQ,Yorkshire,Meridian Telecom,Council Tax,4208.72,864.21,11.61,09/05/2023,Open,None,N,Y,Sara D.
DC100287,Steven Jones,13/12/1953,IM8M 0FF,Wales,Leeds City Council,Overdraft,13563.35,13563.35,13.37,11/03/2023,Open,None,N,N,Marc W.
DC100594,Abigail Spencer,1969-01-03,EC3 0QL,North East,Aurora Credit Ltd,Council Tax,9455.38,9455.38,20.36,2026-08-13,Open,None,N,N,Susan D.
DC101051,Lewis Robinson,1994-01-18,NN51 5XJ,North West,Hallgate Bank,Credit Card,6201.56,5507.76,9.16,2024-09-16,In Arrangement,None,N,,Natalie P.
DC101149,Nicholas Jones,1977-09-11,WA1R 5JZ,Scotland,Northbridge Finance,Catalogue Debt,5098.1,2649.52,28.09,2023-01-17,In Arrangement,None,N,Y,Pauline H.
DC100791,Alison Carr,,DE0 6PN,North East,Yorkshire Utilities Group,Overdraft,4264.66,3552.3,2.99,06/05/2025,In Arrangement,Bereavement,N,Y,Roger R.
DC100537,Antony Cooper,1986-11-28,E1S 7HN,Wales,Aurora Credit Ltd,Council Tax,9411.41,9411.41,14.16,27/04/2023,Open,Financial Hardship,N,Y,Irene S.
DC100114,Emma Abbott,1989-12-08,G5B 5NR,Yorkshire,Vantage Home Finance,Council Tax,10877.84,10877.84,0.48,2025-04-17,Open,None,N,N,Callum W.
DC100123,Tina Hill,13/04/1948,CM0 6ZT,Scotland,Meridian Telecom,Overdraft,5405.63,4902.56,21.67,2023-11-07,Closed,None,N,,Philip G.
DC100183,DAWN WALTON,2004-11-16,SR77 5GF,Wales,Vantage Home Finance,Catalogue Debt,11044.01,8545.13,24.63,2024-01-17,Closed,None,N,Y,Janice J.
DC100815,Stanley Holmes,1989-06-19,N3J 6NZ,Wales,Kestrel Bank,Council Tax,8321.83,8321.83,24.86,23/07/2023,In Arrangement,None,N,Unknown,Phillip H.
DC100958,Barbara Knight,30-10-1993,N1U 6XR,Yorkshire,Kestrel Bank,Store Card,13924.44,8807.38,5.33,2025-07-05,In Arrangement,None,N,Y,Frances F.
DC101182,Andrea Parker,10/02/1946,CV42 4GJ,North East,Aurora Credit Ltd,Rent Arrears,13947.79,11693.61,15.74,05/16/2026,Closed,None,N,Y,Michelle W.
DC100846,Natalie Burton,1968-08-14,B6B 9NJ,Midlands,Pinnacle Retail Finance,Rent Arrears,3639.9,1768.06,24.2,2022-10-30,Written Off,None,N,Y,Kimberley L.
DC100519,JOSEPH ANDERSON,28-04-1965,WR47 5WY,London,Pinnacle Retail Finance,Rent Arrears,1711.27,1158.77,27.93,08/08/2024,Closed,None,N,Y,Andrew B.
DC100172,Shannon Leach,19/05/1949,B4 8SX,Yorkshire,Hallgate Bank,Catalogue Debt,10260.07,6138.4,0.6,2026-07-22,On Hold,None,N,Y,Jessica W.
DC100228,Hollie Payne,1998-04-28,L64 3UR,London,Hallgate Bank,Council Tax,4811.01,3759.49,7.24,2026-02-25,Open,None,N,Y,Nathan S.
DC100680,James Barnes,1982-08-20,EC6 9DB,London,Yorkshire Utilities Group,Mobile Phone Contract,2269.97,2269.97,,2026-03-27,On Hold,None,Y,Y,Ashley P.
DC100474,Arthur Williamson,10/06/1945,S27 2XS,Wales,Northbridge Finance,Utility Arrears,10802.29,10802.29,20.83,23/07/2026,Closed,Bereavement,N,Y,Charlie F.
DC100619,Jane Davies,23/09/1944,B04 1PF,North West,Kestrel Bank,Mobile Phone Contract,11843.24,10616.01,10.16,2026-06-27,Written Off,None,N,N,Amy L.
DC100243,Cheryl Robson,1956-10-27,TR6 5TL,Wales,Summit Consumer Credit,Personal Loan,5928.48,229.94,19.09,2023-09-29,Open,None,N,N,Donald T.
DC100826,Callum Lloyd,13-06-1965,L6D 4SG,Midlands,Pinnacle Retail Finance,Credit Card,13298.72,3643.57,2.75,17-07-2026,Closed,None,N,N,Joyce P.
DC101130,Russell Thorpe,01/07/1979,SK3W 5TB,East Anglia,Summit Consumer Credit,Utility Arrears,8766.22,7211.87,16.8,25-08-2025,Legal Action,None,N,Y,Eileen J.
DC100707,Craig Cook,28/12/1980,N2 6YA,South West,Aurora Credit Ltd,Mobile Phone Contract,312.07,312.07,27.2,2023-06-17,Open,None,N,N,Graeme L.
DC100811,Olivia Williams,2005-01-27,DD3 6EY,North West,Leeds City Council,Personal Loan,10249.79,6234.32,26.04,2026-05-02,Closed,Financial Hardship,N,N,Kate W.
DC100378,Abigail May,1973-02-28,TR49 0XQ,North East,Summit Consumer Credit,Mobile Phone Contract,6412.57,4949.34,13.23,2022-10-04,Closed,None,N,N,Roy A.
DC100720,Terry Lees,1949-06-25,E84 1EW,North East,Summit Consumer Credit,Overdraft,6116.42,6116.42,12.91,2023-07-13,Open,None,N,N,Joel E.
DC100971,Shannon Clarke,03/01/1982,S3 1YN,Scotland,Yorkshire Utilities Group,Personal Loan,9615.43,7615.37,18.84,2026-01-18,In Arrangement,Mental Health,N,Y,Antony T.
DC100030,Brett Gill,1968-09-19,TS3M 1RB,Scotland,Pinnacle Retail Finance,Utility Arrears,3692.39,3692.39,28.82,06-05-2025,On Hold,None,N,N,Pauline M.
DC100789,Pauline Lane,28/03/1955,S0U 6UH,North West,Vantage Home Finance,Utility Arrears,8057.42,4083.9,25.91,2024-12-12,In Arrangement,None,N,Y,Alexander K.
DC100959,Thomas Holt,2004-03-31,W60 4BE,,Aurora Credit Ltd,Store Card,10430.65,9143.32,27.16,12/01/2025,Written Off,None,N,Y,Wendy N.
DC100843,Gregory Lloyd,1972-11-24,RH6P 1LN,North West,Hallgate Bank,Store Card,1931.67,626.97,5.95,2024-02-10,In Arrangement,Bereavement,N,Y,Jodie K.
DC100754,Lee Graham,27/08/1957,E0S 9QP,South West,Summit Consumer Credit,Credit Card,5614.32,1115.99,16.38,12/12/2025,On Hold,None,N,N,Jake H.
DC100171,Leah Robson,1966-03-09,WR66 8FQ,North West,Aurora Credit Ltd,Personal Loan,1820.9,1548.42,25.94,2026-03-19,In Arrangement,Elderly - Support Needed,N,N,Terence C.
DC101080,Kevin Bradley,29-12-1992,,North East,Aurora Credit Ltd,Rent Arrears,10201.16,1233.16,10.13,2023-03-11,In arrangement,None,N,Y,Leah C.
DC100322,Paige Wilkinson,1946-12-22,N55 3ZW,North East,Kestrel Bank,Store Card,8167.02,8167.02,4.67,03/08/2023,On Hold,None,N,N,Alice T.
DC100205,GRAHAM CLARK,08/09/2004,,North West,Yorkshire Utilities Group,Rent Arrears,1122.26,369.97,26.27,2023-04-11,Legal Action,None,N,Y,Alice G.
DC100442,Russell Wood,,E0E 9DP,South West,Leeds City Council,Council Tax,14130.94,7402.89,26.01,08/07/2025,In Arrangement,None,N,N,Jade G.
DC100934,Neil Walker,2002-12-30,M0 7RB,North West,Hallgate Bank,Rent Arrears,3305.87,3305.87,17.41,2024-09-09,On Hold,None,N,N,Bethan C.
DC100947,Stewart Humphries,1977-11-26,TS97 6UJ,London,Yorkshire Utilities Group,Overdraft,6698.48,3808.19,9.04,2025-09-01,In Arrangement,None,N,Y,Howard W.
DC101135,Caroline Begum,23/01/2001,E07 0ED,Wales,Aurora Credit Ltd,Store Card,781.59,781.59,4.49,2025-11-09,Disputed,None,N,Unknown,Damian M.
DC100899,Roger Iqbal,1959-05-06,M49 3LF,Scotland,Northbridge Finance,Credit Card,10466.53,10466.53,12.83,2024-06-10,Open,None,N,Y,Lewis M.
DC100474,Arthur Williamson,10/06/1945,S27 2XS,Wales,Northbridge Finance,Utility Arrears,10802.29,10802.29,20.83,23/07/2026,Closed,Bereavement,N,Y,Charlie F.
DC101039,Dorothy Cooper,1981-08-20,CB9B 3QY,South East,Summit Consumer Credit,Catalogue Debt,9408.26,2854.77,7.94,2025-01-12,Closed,Financial Hardship,N,Unknown,Ellie E.
DC100209,Geoffrey Smith,1999-05-20,HD9P 9EQ,North West,Kestrel Bank,Credit Card,12794.16,12794.16,27.88,2024-10-15,In Arrangement,None,N,N,Jay B.
DC100734,Aaron Lewis,,DA51 3XE,North West,Meridian Telecom,Credit Card,13097.29,13097.29,16.79,17/05/2024,Disputed,None,N,N,Gregory B.
DC100882,Alan Morgan,1973-05-17,S09 4ZX,East Anglia,Pinnacle Retail Finance,Council Tax,14985.86,1045.79,7.73,2026-01-11,In Arrangement,None,N,N,Terry W.
DC100578,Gavin Humphries,23/09/1993,CV1M 6NZ,Yorkshire,Summit Consumer Credit,Utility Arrears,1411.01,1306.75,,2023-11-02,Written Off,None,N,Y,Wayne E.
DC101142,Sam Barton,1979-09-25,S16 8XB,North East,Kestrel Bank,Utility Arrears,8004.75,8004.75,28.44,2026-07-20,Closed,None,N,N,Maria W.
DC100268,Zoe Fletcher,1977-02-19,OX37 1RB,Wales,Aurora Credit Ltd,Utility Arrears,960.02,960.02,28.04,2026-02-12,Legal Action,None,N,Y,Stephanie B.
DC100626,June Mills,2002-11-16,W0 2SX,,Vantage Home Finance,Store Card,13589.08,3805.19,7.53,2023-03-31,In Arrangement,None,N,Y,Bethan C.
DC100779,Lawrence Hayward,1974-09-26,SR52 5SW,South West,Aurora Credit Ltd,Mobile Phone Contract,4568.56,478.21,1.56,2023-12-15,Open,Mental Health,N,Unknown,Oliver K.
DC100082,Jay Lloyd,1953-08-26,TD2X 0NT,North East,Northbridge Finance,Mobile Phone Contract,4540.25,2515.68,13.0,2023-09-14,Open,None,N,N,Joshua J.
DC100301,Mohammed Clark,23-01-1988,E69 9TG,North East,Northbridge Finance,Store Card,6707.49,6707.49,19.15,13-12-2022,Open,None,N,N,Kathryn P.
DC100927,Stewart Owen,11/16/1992,L1K 1HL,Yorkshire,Meridian Telecom,Mobile Phone Contract,14145.08,14145.08,9.42,2026-05-19,In Arrangement,None,N,Y,Antony S.
DC100803,LEANNE IQBAL,15/12/1979,EX8E 3DD,North East,Yorkshire Utilities Group,Rent Arrears,9439.84,6998.12,21.47,03/04/2024,Open,Physical Health,N,N,Richard W.
DC101162,Heather Fraser,14/06/1981,S9 6DX,Yorkshire,Meridian Telecom,Overdraft,5915.68,5915.68,24.79,06/11/2023,Written Off,None,N,Y,Graham C.
DC100109,CARL CARTER,1985-04-18,ME7W 9ZP,Yorkshire,Yorkshire Utilities Group,Credit Card,3210.31,3210.31,7.01,2023-06-01,In Arrangement,None,N,N,Teresa S.
DC100489,Lydia Watts,2002-09-14,B05 3SL,South West,Hallgate Bank,Rent Arrears,9690.45,9690.45,7.72,09/01/2024,Open,None,N,Y,Albert R.
DC100560,Emily Foster,14/01/1996,SM00 7FA,Scotland,Kestrel Bank,Credit Card,5714.53,5714.53,6.32,2025-08-11,Open,None,N,N,Joanne T.
DC100121,Stephanie Patel,1966-12-25,B51 2FB,South East,Northbridge Finance,Catalogue Debt,1278.87,504.94,13.47,2023-01-15,In Arrangement,,N,N,Mitchell B.
DC100034,Shannon Holmes,2004-08-29,N61 9PE,London,Leeds City Council,Mobile Phone Contract,10720.86,10720.86,15.87,2025-08-10,Open,None,N,N,Clifford O.
DC100346,Glenn Preston,15/04/1981,IP21 3WW,,Summit Consumer Credit,Overdraft,8716.12,6860.0,21.73,2022-12-28,Written Off,None,N,Y,Lydia B.
DC100721,Paige Thompson,03/02/2007,M08 8TF,Midlands,Vantage Home Finance,Utility Arrears,7669.34,1075.92,23.69,2025-04-19,In Arrangement,None,N,Y,Melissa J.
DC100640,Douglas Evans,,L20 2NY,London,Yorkshire Utilities Group,Personal Loan,1937.32,989.76,10.76,25-02-2025,Written Off,None,N,Y,Amanda L.
DC100896,Natasha Short,2001-08-15,SK7 5TG,Wales,Leeds City Council,Rent Arrears,1324.12,952.13,19.12,2025-01-17,Open,Mental Health,N,Y,Natasha W.
DC101018,Maureen Arnold,1991-03-06,N12 7HN,South West,Summit Consumer Credit,Overdraft,9081.58,561.76,11.19,2025-11-23,Open,None,N,Y,Sophie J.
DC101007,Keith Armstrong,2006-12-20,G8W 9TZ,North West,Summit Consumer Credit,Store Card,11006.68,8543.32,28.04,12/10/2025,Closed,None,N,N,Francesca T.
DC100470,Sian Marshall,1952-12-15,AL1A 1WE,North West,Northbridge Finance,Overdraft,719.74,6.91,9.16,2024-11-12,Closed,None,N,Y,Lydia W.
DC100737,Graham Hill,27/10/2001,AB24 7RQ,Scotland,Yorkshire Utilities Group,Mobile Phone Contract,10094.82,8193.43,16.53,2024-04-30,Written Off,None,N,N,Clifford H.
DC100411,Bethan Richards,1944-05-01,E6 5EA,East Anglia,Meridian Telecom,Credit Card,10730.43,5091.85,26.76,2025-04-14,OPEN,None,N,Y,Iain T.
DC100531,Terry Harvey,1948-03-22,SO4 1PU,Scotland,Northbridge Finance,Store Card,4453.26,,,2023-04-03,Disputed,None,N,N,Connor C.
DC100724,Ben Matthews,20/05/1946,SM28 1LH,North West,Meridian Telecom,Mobile Phone Contract,1947.97,1586.2,0.32,2023-09-19,Open,None,N,Y,Christine M.
DC100742,Anne Smith,1951-02-03,M14 6HU,London,Leeds City Council,Personal Loan,3805.97,3805.97,,2024-09-21,In Arrangement,Financial Hardship,N,Y,Diana G.
DC101116,Darren Jones,1955-11-28,UB9 8FL,Yorkshire,Summit Consumer Credit,Utility Arrears,14252.12,11085.4,19.71,2022-09-25,In Arrangement,None,N,Y,Stanley J.
DC101090,Carole Franklin,,M41 2GS,South West,Summit Consumer Credit,Overdraft,2838.86,2697.45,26.72,2024-01-18,Closed,None,N,N,Terence K.
DC100011,Antony Buckley,1947-12-16,MK9H 5GX,Wales,Hallgate Bank,Utility Arrears,1050.1,285.4,8.33,03/03/2025,Open,None,N,Unknown,Melanie B.
DC101200,Carol Bentley,1980-12-15,CF2 3JT,Wales,Meridian Telecom,Personal Loan,13195.64,13195.64,4.0,2025-11-11,In Arrangement,None,N,N,Carl B.
DC100533,Laura Gardner,2008-08-20,S7 1FR,,Pinnacle Retail Finance,Utility Arrears,1607.36,1607.36,5.97,2024-08-24,Closed,None,N,N,Joanne B.
DC100265,Catherine Ryan,1942-06-22,BT7 4RU,North East,Hallgate Bank,Utility Arrears,7609.52,3007.95,6.77,2023-05-23,Closed,None,N,Unknown,Wendy B.
DC100520,Ben Jackson,1950-08-29,CR5E 4QS,Midlands,Vantage Home Finance,Overdraft,4158.19,4158.19,19.98,2024-07-11,Closed,None,N,Y,Heather W.
DC100989,Justin Marshall,23/12/1984,SP7E 9LX,North East,Kestrel Bank,Store Card,2865.72,2110.0,10.15,2023-09-06,In Arrangement,None,N,Y,Ricky G.
DC100316,Vanessa George,1958-11-16,SL4 0NH,South East,Northbridge Finance,Rent Arrears,14199.52,6497.2,20.17,2025-10-19,Written Off,None,N,Y,Joanna H.
DC100762,Mohammad Fry,1951-03-25,FK8B 0EX,Wales,Aurora Credit Ltd,Catalogue Debt,5954.33,5954.33,13.82,2022-12-09,In Arrangement,None,N,Y,Bryan W.
DC100488,Terence Scott,2007-02-22,L7U 4BH,South West,Kestrel Bank,Utility Arrears,2498.87,,4.19,2025-02-22,Open,None,N,Unknown,Nathan R.
DC101054,Aaron Fleming,1955-05-11,M5D 2XY,East Anglia,Aurora Credit Ltd,Mobile Phone Contract,5482.49,5482.49,16.06,28/06/2024,Open,None,N,Y,Guy T.
DC100892,Jonathan Miles,01/24/1975,RG32 0GE,Yorkshire,Northbridge Finance,Catalogue Debt,7792.82,5767.42,8.93,21-04-2023,Open,None,N,Y,Samantha S.
DC100167,Jonathan Carey,1976-08-21,E0W 9XF,North West,Hallgate Bank,Personal Loan,9063.2,9063.2,11.88,2024-02-20,Open,None,N,N,Roger M.
DC100964,Douglas Atkinson,24/03/1991,CH39 4ZW,East Anglia,Leeds City Council,Catalogue Debt,2253.27,1889.62,10.35,2023-01-12,Open,None,N,N,Sheila D.
DC100822,Leon Tucker,02/12/1963,FK22 1FP,North East,Meridian Telecom,Personal Loan,5767.7,5767.7,20.5,2025-02-13,Legal Action,None,N,Y,Sean M.
DC101079,Michelle Weston,1941-11-28,HG5A 1JA,Midlands,Hallgate Bank,Credit Card,8437.96,2733.94,13.99,2025-07-18,Disputed,None,N,Y,Margaret H.
DC100616,Alexander Andrews,1976-03-14,B1S 0LH,London,Kestrel Bank,Store Card,5648.89,1451.96,26.15,2025-08-30,In Arrangement,None,N,Unknown,Duncan B.
DC100040,Angela Osborne,19/08/1989,W2T 7LJ,London,Vantage Home Finance,Credit Card,9030.84,998.6,20.1,2024-09-12,In Arrangement,None,N,Y,Kim W.
DC100653,Karen Smith,1946-06-27,LA8 3YB,North West,Summit Consumer Credit,Catalogue Debt,2404.92,1338.62,23.07,31-08-2025,Written Off,None,N,Y,Natalie L.
DC100023,Dennis Davies,,M75 0TZ,East Anglia,Pinnacle Retail Finance,Personal Loan,14403.51,3803.08,22.46,06/10/2023,Open,None,N,Y,Lynne T.
DC100911,Sheila Brown,31/10/1989,N5 0WH,London,Leeds City Council,Credit Card,13754.68,13754.68,16.2,2025-11-12,Open,None,N,N,Linda W.
DC100808,Mark Cooke,07/31/1985,,Wales,Northbridge Finance,Council Tax,1554.44,622.0,2.73,2025-03-12,In Arrangement,None,N,N,Janice B.
DC100816,Timothy Moore,05/06/1989,BS9X 6PP,South West,Northbridge Finance,Council Tax,3675.77,504.19,11.19,2026-06-06,In Arrangement,None,N,Y,Joe C.
DC100248,Louise Law,,CM0 0GY,South West,Hallgate Bank,Rent Arrears,13121.37,10469.82,17.65,15-01-2026,Open,None,N,Y,Ann F.
DC100987,Dawn Nicholls,,WD8H 5BR,Scotland,Hallgate Bank,Personal Loan,3369.25,954.38,23.91,2026-04-09,Open,None,N,N,Kayleigh G.
DC100327,Nicole Bruce,1996-08-04,IP76 5AR,Scotland,Hallgate Bank,Personal Loan,7487.39,7487.39,26.69,2026-04-16,Written Off,None,N,N,Ellie I.
DC100511,Anna Briggs,06/09/2003,W0 8EN,Scotland,Northbridge Finance,Utility Arrears,6385.62,,18.87,2024-01-18,Closed,None,N,Y,Peter A.
DC100795,Mohammed Foster,03/06/1955,B55 4NW,South West,Summit Consumer Credit,Store Card,3330.08,887.75,26.15,2023-07-18,Open,None,N,N,Harry H.
DC101070,Mohamed Robinson,05-11-2007,WC6 2FZ,South West,Pinnacle Retail Finance,Overdraft,6004.48,78.87,25.59,2025-12-16,Legal Action,None,N,Y,Louis J.
DC100901,Louise Reynolds,26/03/1997,E7 7LD,Yorkshire,Summit Consumer Credit,Credit Card,8152.61,2567.4,2.01,11/17/2023,On Hold,None,N,Unknown,Ashley T.
DC100361,Glenn Wallis,2004-01-22,DN9 2HU,North East,Northbridge Finance,Store Card,2869.65,2869.65,21.2,2024-08-02,Closed,None,N,N,Marc H.
DC100579,Lewis Lee,01/08/1975,LN49 1SQ,London,Meridian Telecom,Rent Arrears,1630.24,50.11,8.5,21/08/2024,Closed,None,N,N,Jayne B.
DC100771,Terence Hunt,1988-08-04,S5 1YD,North West,Kestrel Bank,Catalogue Debt,361.04,361.04,8.74,03/14/2024,Open,None,N,Y,Lesley S.
DC100431,Clifford Stanley,02/10/2001,WC81 7FE,North East,Leeds City Council,Utility Arrears,8300.38,8300.38,7.32,2025-12-07,Disputed,None,N,Y,Annette T.
DC100695,Geraldine Macdonald,20-10-1973,W9 2HB,North West,Kestrel Bank,Store Card,1269.86,351.62,9.89,09/09/2024,Closed,Mental Health,N,N,Justin L.
DC100241,Sylvia Patel,,L67 2LD,North East,Yorkshire Utilities Group,Mobile Phone Contract,4147.55,1181.24,23.49,2023-12-05,Open,None,N,Y,Samuel W.
DC100008,Chelsea Powell,1991-07-09,S5D 8UD,North West,Hallgate Bank,Personal Loan,12500.23,12500.23,15.93,26-05-2024,On Hold,Physical Health,N,N,Anthony T.
DC100641,Naomi Mitchell,,G74 4QA,North West,Meridian Telecom,Store Card,14194.12,2320.25,,2026-03-10,Legal Action,None,N,N,Maureen G.
